timestamp,open,high,low,close,volume
2026-04-09T06:45:00,2178.5,2181.81,2177.39,2181.66,188.103547
2026-04-09T07:00:00,2181.7,2185.88,2181.7,2184.55,867.23894
2026-04-09T07:15:00,2184.54,2184.65,2180.36,2181.12,434.759616
2026-04-09T07:30:00,2181.14,2184.08,2180.19,2181.9,1015.198189
2026-04-09T07:45:00,2181.91,2182.69,2179.9,2181.08,1214.269857
2026-04-09T08:00:00,2181.08,2183.75,2177.11,2179.11,653.302874
2026-04-09T08:15:00,2179.1,2180.84,2176.55,2180.16,394.089226
2026-04-09T08:30:00,2180.25,2189.61,2180.25,2188.8,921.414673
2026-04-09T08:45:00,2188.83,2191.53,2183.1,2186.11,809.22226
2026-04-09T09:00:00,2186.1,2186.11,2179.55,2183.04,684.788636
2026-04-09T09:15:00,2183.07,2188.16,2182.8,2184.95,1021.196378
2026-04-09T09:30:00,2184.94,2188.96,2184.06,2185.87,1010.174627
2026-04-09T09:45:00,2185.75,2197.0,2185.31,2194.2,1753.159555
2026-04-09T10:00:00,2194.2,2194.31,2188.15,2188.65,504.453218
2026-04-09T10:15:00,2188.65,2193.79,2188.3,2192.74,557.642173
2026-04-09T10:30:00,2192.74,2196.47,2190.65,2195.01,501.51798
2026-04-09T10:45:00,2195.0,2196.02,2189.21,2190.72,497.798796
2026-04-09T11:00:00,2190.7,2192.99,2185.36,2185.71,786.996594
2026-04-09T11:15:00,2185.7,2185.7,2178.21,2180.26,1471.758949
2026-04-09T11:30:00,2180.26,2183.52,2178.25,2181.05,555.211794
2026-04-09T11:45:00,2181.05,2182.98,2179.55,2180.1,229.178037
2026-04-09T12:00:00,2180.11,2182.98,2180.0,2181.27,503.074037
2026-04-09T12:15:00,2181.27,2186.49,2174.25,2184.76,1132.92636
2026-04-09T12:30:00,2184.77,2187.86,2178.94,2183.84,1520.150347
2026-04-09T12:45:00,2183.71,2183.98,2177.86,2183.56,498.945053
2026-04-09T13:00:00,2183.6,2186.37,2177.45,2178.11,454.637445
2026-04-09T13:15:00,2178.12,2179.37,2174.69,2178.83,737.975773
2026-04-09T13:30:00,2178.75,2180.22,2164.5,2169.64,3114.784527
