timestamp,open,high,low,close,volume
2026-02-21T12:00:00,1977.06,1996.26,1969.26,1987.95,14839.172293
2026-02-21T16:00:00,1988.06,1995.5,1976.5,1988.54,11647.561874
2026-02-21T20:00:00,1988.55,1990.64,1970.0,1973.6,9647.498469
2026-02-22T00:00:00,1973.56,1983.29,1967.49,1975.01,7270.435832
2026-02-22T04:00:00,1975.0,1979.53,1971.1,1976.2,5264.175737
2026-02-22T08:00:00,1976.19,1983.21,1970.6,1980.7,5171.663565
2026-02-22T12:00:00,1980.7,1981.48,1943.78,1954.05,21008.989573
2026-02-22T16:00:00,1954.06,1955.82,1935.03,1944.04,9830.614658
2026-02-22T20:00:00,1944.05,1962.14,1940.16,1957.97,7541.392786
2026-02-23T00:00:00,1957.98,1958.4,1846.67,1862.9,98585.006143
2026-02-23T04:00:00,1862.9,1888.85,1853.65,1885.26,31856.965225
2026-02-23T08:00:00,1885.26,1928.0,1876.5,1915.26,38492.608754
2026-02-23T12:00:00,1915.25,1935.36,1892.6,1895.61,57241.61342
2026-02-23T16:00:00,1895.61,1900.0,1837.43,1857.11,41735.669411
2026-02-23T20:00:00,1857.15,1870.13,1846.92,1856.51,15173.813804
2026-02-24T00:00:00,1856.51,1869.69,1811.6,1831.95,43822.461998
2026-02-24T04:00:00,1831.95,1840.6,1813.72,1825.85,31406.539549
2026-02-24T08:00:00,1825.81,1836.36,1815.17,1826.81,25252.532026
2026-02-24T12:00:00,1826.81,1850.0,1798.16,1847.35,47868.093321
2026-02-24T16:00:00,1847.36,1865.29,1838.12,1852.32,28793.443509
2026-02-24T20:00:00,1852.32,1864.16,1845.46,1851.8,8906.230307
2026-02-25T00:00:00,1851.88,1945.38,1846.46,1906.24,62470.721266
2026-02-25T04:00:00,1906.24,1914.44,1878.27,1893.42,25464.382809
2026-02-25T08:00:00,1893.35,1928.56,1890.22,1926.51,22555.044053
2026-02-25T12:00:00,1926.56,2028.77,1922.26,2013.73,78143.182352
2026-02-25T16:00:00,2013.84,2087.41,2013.56,2071.05,73195.640418
2026-02-25T20:00:00,2071.1,2150.0,2034.41,2057.5,96632.038584
2026-02-26T00:00:00,2057.5,2076.54,2039.36,2054.19,25909.176738
2026-02-26T04:00:00,2054.35,2082.74,2051.7,2053.13,23458.78452
2026-02-26T08:00:00,2053.12,2083.62,2044.85,2057.55,21492.464036
2026-02-26T12:00:00,2057.55,2077.99,2011.6,2033.32,42988.782942
2026-02-26T16:00:00,2033.33,2037.85,1975.3,2029.96,53297.71117
2026-02-26T20:00:00,2029.92,2041.94,2017.89,2027.62,12101.984141
2026-02-27T00:00:00,2027.56,2049.53,2000.44,2045.2,28803.124154
2026-02-27T04:00:00,2045.21,2063.65,2022.4,2032.6,22639.868781
2026-02-27T08:00:00,2032.59,2045.89,1953.42,1962.06,39462.473583
2026-02-27T12:00:00,1962.06,1969.0,1938.87,1948.65,36770.742901
2026-02-27T16:00:00,1948.64,1948.89,1907.31,1921.3,25571.969374
2026-02-27T20:00:00,1921.3,1933.97,1886.48,1929.81,15524.432103
2026-02-28T00:00:00,1929.81,1937.0,1919.66,1924.35,8752.387445
2026-02-28T04:00:00,1924.36,1932.45,1835.47,1866.72,67257.632307
2026-02-28T08:00:00,1866.73,1881.13,1845.0,1863.41,29647.516861
2026-02-28T12:00:00,1863.46,1916.1,1862.61,1898.67,42876.001939
2026-02-28T16:00:00,1898.67,1955.21,1885.71,1947.29,38604.782808
2026-02-28T20:00:00,1947.23,1985.0,1938.78,1964.3,26771.953597
2026-03-01T00:00:00,1964.31,2055.0,1943.54,2022.95,53858.812359
2026-03-01T04:00:00,2022.98,2030.11,1988.92,2007.03,35187.690625
2026-03-01T08:00:00,2007.02,2010.2,1972.02,1983.15,20714.401225
2026-03-01T12:00:00,1983.16,2028.0,1968.5,1993.34,32549.059931
2026-03-01T16:00:00,1993.35,2009.5,1947.0,1954.12,35326.922638
2026-03-01T20:00:00,1954.11,1970.19,1907.4,1939.68,38800.354605
2026-03-02T00:00:00,1939.7,1989.44,1937.41,1972.09,33776.886652
2026-03-02T04:00:00,1972.1,1984.13,1925.76,1941.63,20307.472601
2026-03-02T08:00:00,1941.69,1967.26,1919.71,1947.85,27460.952852
2026-03-02T12:00:00,1947.79,2065.54,1921.7,2047.7,70406.579028
2026-03-02T16:00:00,2047.73,2090.9,2016.72,2043.6,44897.741867
2026-03-02T20:00:00,2043.51,2058.69,2024.94,2027.5,21461.726714
2026-03-03T00:00:00,2027.5,2041.71,1998.04,2008.85,24550.939273
2026-03-03T04:00:00,2008.85,2019.57,1987.5,1996.42,20082.744269
2026-03-03T08:00:00,1996.43,2000.85,1939.41,1961.35,41130.043754
2026-03-03T12:00:00,1961.36,1990.35,1929.0,1969.46,41625.764926
2026-03-03T16:00:00,1969.17,2013.94,1958.73,1986.08,37959.093153
2026-03-03T20:00:00,1986.09,2001.61,1959.35,1982.82,13121.927583
2026-03-04T00:00:00,1982.82,1998.76,1945.01,1961.29,23430.759785
2026-03-04T04:00:00,1961.17,2010.29,1950.63,2006.61,21056.37076
2026-03-04T08:00:00,2006.64,2093.55,2000.49,2054.72,73714.111659
2026-03-04T12:00:00,2054.89,2157.23,2036.37,2150.26,88955.458747
2026-03-04T16:00:00,2150.25,2200.0,2126.56,2177.84,81554.639924
2026-03-04T20:00:00,2177.85,2180.0,2116.67,2127.41,25338.172836
2026-03-05T00:00:00,2127.3,2142.11,2107.5,2119.88,22985.920342
2026-03-05T04:00:00,2120.14,2144.44,2095.8,2105.0,31808.747016
2026-03-05T08:00:00,2105.15,2163.68,2093.78,2138.06,41589.154422
2026-03-05T12:00:00,2138.06,2142.92,2067.0,2087.09,55113.775776
2026-03-05T16:00:00,2087.09,2094.0,2054.35,2074.48,26490.396122
2026-03-05T20:00:00,2074.6,2099.6,2068.98,2072.66,15034.363508
2026-03-06T00:00:00,2072.66,2093.3,2061.77,2083.91,17794.202057
2026-03-06T04:00:00,2083.91,2087.5,2059.47,2082.82,18142.454146
2026-03-06T08:00:00,2082.84,2082.85,2045.7,2051.18,22107.541905
2026-03-06T12:00:00,2051.19,2063.06,1966.0,1977.74,69965.109648
2026-03-06T16:00:00,1977.73,1993.28,1955.96,1983.7,25374.117792
2026-03-06T20:00:00,1983.71,1990.2,1969.01,1978.89,11232.243459
2026-03-07T00:00:00,1978.79,1996.0,1972.28,1980.01,12816.969259
2026-03-07T04:00:00,1980.11,1984.67,1964.1,1983.49,13389.567616
2026-03-07T08:00:00,1983.5,1994.66,1975.23,1988.6,8388.503655
2026-03-07T12:00:00,1988.6,1990.95,1970.01,1981.07,9193.618296
2026-03-07T16:00:00,1981.08,1983.65,1947.38,1955.22,12394.569709
2026-03-07T20:00:00,1955.14,1974.24,1955.0,1969.75,19376.63103
2026-03-08T00:00:00,1969.75,1977.42,1935.6,1947.66,26279.262543
2026-03-08T04:00:00,1947.63,1960.43,1929.37,1955.39,20009.651967
2026-03-08T08:00:00,1955.2,1979.89,1944.7,1951.27,22165.994838
2026-03-08T12:00:00,1951.3,1954.66,1922.85,1943.06,26310.166023
2026-03-08T16:00:00,1943.06,1969.96,1927.18,1964.49,19569.684536
2026-03-08T20:00:00,1964.49,1971.19,1910.0,1936.87,48219.968974
2026-03-09T00:00:00,1936.87,2005.74,1928.86,1977.56,47229.316588
